Database ID,_166_1,_166_2,_181_1,_181_2,_182_1,_182_2,_207_1,_207_2,Reef,Region,Species,Final Clonal ID,Tube ID,Sample ID,,,,,,,,,,,
15001,140,146,159,165,143,170,164,173,Los Corchos,PuertoRico,Acropora cervicornis, C1689 ,15001,N1,,,,,,,,,,,
15002,140,146,159,165,143,170,164,173,Los Corchos,PuertoRico,Acropora cervicornis, C1689 ,15002,N2,,,,,,,,,,,
15003,140,146,159,159,143,158,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1687 ,15003,N3,,,,,,,,,,,
15004,143,149,165,165,155,188,158,173,Los Corchos,PuertoRico,Acropora cervicornis, C1736 ,15004,N4,,,,,,,,,,,
15005,140,146,159,171,161,161,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1690 ,15005,N5,,,,,,,,,,,
15735,143,143,174,177,161,167,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1433 ,AG006,N6,,,,,,,,,,,
15007,146,146,159,168,143,158,158,164,Los Corchos,PuertoRico,Acropora cervicornis, C1741 ,15007,N7,,,,,,,,,,,
15008,143,143,159,174,158,185,158,173,Los Corchos,PuertoRico,Acropora cervicornis, C1697 ,15008,N8,,,,,,,,,,,
15009,143,143,174,186,149,152,158,164,Los Corchos,PuertoRico,Acropora cervicornis, C1711 ,15009,N9,,,,,,,,,,,
15010,140,146,159,165,143,170,164,173,Los Corchos,PuertoRico,Acropora cervicornis, C1689 ,15010,N10,,,,,,,,,,,
15011,140,143,159,162,143,158,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1683 ,15011,N11,,,,,,,,,,,
15012,146,146,159,168,143,158,158,164,Los Corchos,PuertoRico,Acropora cervicornis, C1741 ,15012,N12,,,,,,,,,,,
15013,143,143,174,180,143,155,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1710 ,15013,N13,,,,,,,,,,,
15014,143,146,162,174,143,167,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1724 ,15014,N14,,,,,,,,,,,
15015,143,146,159,159,158,161,158,167,Los Corchos,PuertoRico,Acropora cervicornis, C1712 ,15015,N15,,,,,,,,,,,
15016,140,143,159,162,143,158,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1683 ,15016,N16,,,,,,,,,,,
15017,146,197,180,180,161,161,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1752 ,15017,N17,,,,,,,,,,,
15018,140,143,159,162,143,158,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1683 ,15018,N18,,,,,,,,,,,
15019,143,167,165,174,161,176,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1737 ,15019,N19,,,,,,,,,,,
15020,143,143,174,186,149,152,158,164,Los Corchos,PuertoRico,Acropora cervicornis, C1711 ,15020,N20,,,,,,,,,,,
15021,140,143,159,162,143,158,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1683 ,15021,N21,,,,,,,,,,,
15022,140,146,159,165,143,170,164,173,Los Corchos,PuertoRico,Acropora cervicornis, C1689 ,15022,N22,,,,,,,,,,,
15023,143,146,159,171,161,167,158,161,Los Corchos,PuertoRico,Acropora cervicornis, C1719 ,15023,N23,,,,,,,,,,,
15024,140,143,174,174,161,167,158,173,Los Corchos,PuertoRico,Acropora cervicornis, C1686 ,15024,N24,,,,,,,,,,,
15025,140,143,159,162,143,158,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1683 ,15025,N25,,,,,,,,,,,
15026,140,146,165,183,158,158,158,170,Los Corchos,PuertoRico,Acropora cervicornis, C1693 ,15026,N26,,,,,,,,,,,
15027,143,146,159,165,158,161,158,161,Los Corchos,PuertoRico,Acropora cervicornis, C1717 ,15027,N27,,,,,,,,,,,
15028,140,143,159,174,158,158,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1684 ,15028,N28,,,,,,,,,,,
15029,143,143,174,177,161,167,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1433 ,15029,N29,,,,,,,,,,,
15030,143,143,159,180,158,158,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1698 ,15030,N30,,,,,,,,,,,
15031,140,143,159,162,143,158,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1683 ,15031,N31,,,,,,,,,,,
15032,140,143,174,174,161,167,158,173,Los Corchos,PuertoRico,Acropora cervicornis, C1686 ,15032,N32,,,,,,,,,,,
15033,143,146,162,180,158,173,158,158,Los Corchos,PuertoRico,Acropora cervicornis, C1726 ,15033,N33,,,,,,,,,,,
15034,143,146,162,186,158,158,158,173,Luis Pena,PuertoRico,Acropora cervicornis, C1727 ,15034,N34,,,,,,,,,,,
15035,143,146,162,177,143,158,158,158,Luis Pena,PuertoRico,Acropora cervicornis, C1725 ,15035,N35,,,,,,,,,,,
15036,143,146,159,159,158,167,158,161,Luis Pena,PuertoRico,Acropora cervicornis, C1713 ,15036,N36,,,,,,,,,,,
15037,143,146,162,186,158,158,158,173,Luis Pena,PuertoRico,Acropora cervicornis, C1727 ,15037,N37,,,,,,,,,,,
15038,143,146,177,180,161,161,158,158,Luis Pena,PuertoRico,Acropora cervicornis, C1733 ,15038,N38,,,,,,,,,,,
15039,143,146,177,180,161,161,158,158,Luis Pena,PuertoRico,Acropora cervicornis, C1733 ,15039,N39,,,,,,,,,,,
