DateTime,Temp_mean,Temp_var,Temp_maxmax,Temp_dif,Ir_mean,Ir_stdev,CV3_temp,CV3_IR,Time,Temp_z-score,IR_z-score,CV3_temp_Z-score,CV3_IR_z-score
4/1/2018,27.55248697,0.149523479,28.9,2.4,286.02,20.78,2.597719303,10.27470477,T0,-0.779121374,1.127805407,0.985609336,0.910515119
5/1/2018,27.96792916,0.168822799,29.3,2.4,271.67,25.81,1.674018489,2.986133238,T2,-0.432770711,0.71111244,-0.246653187,-0.793768562
6/1/2018,28.84370758,0.125277894,30.1,2,278.34,29.39,2.343927879,2.576793231,T3,0.297358399,0.904794816,0.647039037,-0.889484368
7/1/2018,29.03909659,0.134761208,30.1,2,279.28,23.41,1.993445195,1.500918073,T4,0.460252575,0.932090383,0.179477821,-1.141055813
8/1/2018,29.4506002,0.135658185,30.5,2,271.16,26.23,1.064174044,1.607784824,T5,0.803319677,0.696303143,-1.060215806,-1.116067205
9/1/2018,29.74484616,0.097524838,30.7,1.8,251.37,24.54,1.205291767,5.371299945,T6,1.048630061,0.121644341,-0.87195779,-0.236046013
10/1/2018,29.38759669,0.162912858,31,2.7,229.49,23.69,0.645802656,8.315098137,T7,0.75079418,-0.513703542,-1.618343907,0.452301107
11/1/2018,28.81660722,0.089067768,29.9,1.7,199.51,22.17,1.597070889,11.47987769,T8,0.274765056,-1.384257908,-0.349305086,1.192320208
12/1/2018,27.85702817,0.250905662,29,2.5,189.82,15.28,2.696203605,10.02637441,T9,-0.525227935,-1.665634553,1.11699226,0.852448134
1/1/2019,26.95539548,0.069348482,28,1.7,205.72,17.35,3.338874749,4.039939665,T10,-1.276911532,-1.203932938,1.974347317,-0.547357439
2/1/2019,26.95914044,0.136344471,28.3,2.1,236.05,15.1,1.905846537,11.15629288,T11,-1.273789391,-0.323215329,0.062616883,1.116656505
3/1/2019,27.33331511,0.255462279,29.7,3.3,270.34,17.5,0.801691349,13.620178,T12,-0.961843112,0.672492116,-1.410380688,1.692785749
4/1/2019,27.67800608,0.130196371,29,2,285.39,19.51,1.315840742,9.581255279,T13,-0.674477147,1.10951157,-0.724479997,0.748366111
5/1/2019,28.34074935,0.232578869,29.9,2.6,281.97,25.43,1.842844385,2.825379036,T14,-0.121953652,1.010202166,-0.0214311,-0.831357651
6/1/2019,29.15669145,0.159020712,30.5,2.4,279.25,19.39,2.608724257,1.09022213,T15,0.558290421,0.931219248,1.000290488,-1.237088677
7/1/2019,29.46072562,0.114319617,31.3,2.5,274.99,22.07,1.998057904,1.26219501,T16,0.811761154,0.80751806,0.185631403,-1.196876329
8/1/2019,29.79649434,0.247476112,31,2.3,270.66,22.79,1.085912558,1.562024804,T17,1.091688715,0.681784224,-1.031215554,-1.126767252
9/1/2019,30.5211898,0.188039383,31.9,2.6,253.95,18.21,1.811087034,4.168508643,T18,1.69586123,0.196561961,-0.063796976,-0.517294208
10/1/2019,30.42500342,0.173859012,31.7,2.4,222.6,22,1.301215143,9.795963102,T19,1.615671454,-0.713774242,-0.743991269,0.798571153
11/1/2019,29.46597599,0.09851206,30.2,1.7,200.61,21.43,1.935956934,11.8760072,T20,0.816138343,-1.352316287,0.102785641,1.284947009
12/1/2019,28.49617861,0.359578546,30,2.6,186.8,19.94,3.273385313,8.879403605,T21,0.007626417,-1.753328822,1.886981174,0.584252423
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
