#,ID,Frag,Col_Time,Site,Depth,Genotype,Source
3,P001,N68,T3,LP15,shallow,C1732 ,CR
5,P002,N73,T3,LP15,shallow,C1739 ,CR
7,P003,N69,T3,LP40,Deep,C1739 ,CR
9,P004,V4,T3,CR40,Deep,C1739 ,CR
11,P005,V36,T3,CR40,Deep,C1734 ,CUL
13,P006,N62,T3,CR40,Deep,C1733,LP
15,P007,N64,T3,CR15,shallow,C1733,LP
17,P008,V3,T3,CR40,Deep,C1708,CR
19,P009,V18,T3,CR40,Deep,C1732 ,CR
21,P010,V27,T3,LP15,shallow,C1734 ,CUL
23,P011,V40,T3,CR15,shallow,C1734 ,CUL
25,P012,V55,T3,CR15,shallow,C1727 ,LP
27,P013,N79,T3,LP15,shallow,C1732 ,CR
29,P014,N45,T3,LP40,Deep,C1733,LP
31,P015,V3,T3,CR15,shallow,C1708,CR
33,P016,N94,T3,CR15,shallow,C1732 ,CR
35,P017,N85,T3,LP40,Deep,C1708,CR
37,P018,N57,T3,CR15,shallow,C1733,LP
39,P019,N65,T3,LP40,Deep,C1739 ,CR
41,P020,N72,T3,LP15,shallow,C1739 ,CR
43,P021,N51,T3,CR15,shallow,C1727 ,LP
45,P022,N70,T3,LP15,shallow,C1708,CR
47,P023,N68,T3,LP40,Deep,C1732 ,CR
49,P024,V36,T3,CR15,shallow,C1734 ,CUL
51,P025,N42,T3,LP15,shallow,C1727 ,LP
53,P026,N45,T3,LP15,shallow,C1733,LP
55,P027,N39,T3,LP15,shallow,C1733,LP
57,P028,N37,T5,LP15,shallow,C1727 ,LP
59,P029,N42,T5,LP15,shallow,C1727 ,LP
61,P030,N46,T5,LP15,shallow,C1733,LP
63,P031,N51,T5,CR15,shallow,C1727 ,LP
65,P032,N58,T5,CR15,shallow,C1733,LP
67,P033,N64,T5,CR15,shallow,C1733,LP
69,P034,V19,T5,CR15,shallow,C1732 ,CR
71,P035,N68,T5,LP15,shallow,C1732 ,CR
73,P037,V3,T5,CR40,Deep,C1708,CR
75,P038,N43,T5,LP40,Deep,C1727 ,LP
